,account_value
343,1004417.0011520386
344,1004293.0011749268
345,1004233.0013275146
346,1004254.0012359619
347,1004990.0012969971
348,1005194.0013885498
349,1005644.0013885498
350,1005635.001373291
351,1005523.0010986328
352,1005742.0015335083
353,1005656.0014724731
354,1005368.0011749268
355,1005428.0017852783
356,1005521.001625061
357,1005269.0015792847
358,1006076.001739502
359,1005960.0017547607
360,1006048.0016708374
361,1006048.0016708374
362,1005927.0017623901
363,1006387.0016098022
364,1005664.0016555786
365,1005328.0015945435
366,1005523.0012893677
367,1005459.0013504028
368,1005342.0015335083
369,1005560.0015640259
370,1005676.0015487671
371,1005676.0015487671
372,1005622.0014572144
373,1005418.0013656616
374,1005547.0014572144
375,1005635.0015640259
376,1005699.0015029907
377,1005699.0015029907
378,1005934.0015411377
379,1005956.001663208
380,1006040.0012969971
381,1006596.0010528564
382,1006126.001739502
383,1005244.0021514893
384,1004803.0014038086
385,1005355.001449585
386,1005540.0009155273
387,1006588.0020141602
388,1006008.0020904541
389,1006698.0007171631
390,1007937.0010375977
391,1007361.0000610352
392,1006659.001159668
393,1004549.0005493164
394,1004882.0030212402
395,1005450.0022888184
396,1005814.0026092529
397,1005640.0020599365
398,1005485.001373291
399,1005237.0018005371
400,1005255.0022125244
401,1005143.0019378662
402,1005025.0019073486
403,1005025.0019073486
404,1005025.0019073486
405,1005025.0019073486
406,1005025.0019073486
407,1005025.0019073486
408,1005025.0019073486
409,1005025.0019073486
410,1005025.0019073486
411,1005267.0017242432
412,1005329.0019989014
413,1005233.0020904541
414,1004601.0013580322
415,1004881.0020446777
416,1005397.0008850098
417,1005202.0011901855
418,1005520.002746582
419,1006395.002746582
420,1006355.0003051758
421,1006292.000579834
422,1007792.000579834
423,1006802.0030975342
424,1005974.0001678467
425,1005710.0025177002
426,1006260.0017547607
427,1005864.0029907227
428,1005608.0032348633
429,1005601.001739502
430,1005577.0011901855
431,1005797.0024108887
432,1006157.0014953613
433,1005992.0017242432
434,1006052.0015716553
435,1006036.0015869141
436,1006036.0015869141
437,1006036.0015869141
438,1006036.0015869141
439,1006036.0015869141
440,1006036.0015869141
441,1006036.0015869141
442,1006036.0015869141
443,1006036.0015869141
444,1006036.0015869141
445,1006036.0015869141
446,1006036.0015869141
447,1006036.0015869141
448,1006036.0015869141
449,1006036.0015869141
450,1006036.0015869141
451,1006036.0015869141
452,1006036.0015869141
453,1006036.0015869141
454,1006036.0015869141
455,1006036.0015869141
456,1006036.0015869141
457,1006036.0015869141
458,1006036.0015869141
459,1006036.0015869141
460,1006036.0015869141
461,1006036.0015869141
462,1006036.0015869141
463,1006036.0015869141
464,1006036.0015869141
465,1006036.0015869141
466,1006036.0015869141
467,1006106.001663208
468,1006168.0019378662
469,1006227.001953125
470,1006227.001953125
471,1006227.001953125
472,1006227.001953125
473,1006227.001953125
474,1006227.001953125
475,1006227.001953125
476,1006241.0018920898
477,1006241.0018920898
478,1006476.001739502
479,1006476.001739502
480,1006476.001739502
481,1006481.001663208
482,1006437.0021820068
483,1006440.0016784668
484,1006652.0011901855
485,1007819.0021514893
