,date,actions
82,2019-03-22,[60]
83,2019-03-25,[29]
84,2019-03-26,[52]
85,2019-03-27,[8]
86,2019-03-28,[6]
87,2019-03-29,[25]
88,2019-04-01,[69]
89,2019-04-02,[72]
90,2019-04-03,[66]
91,2019-04-04,[36]
92,2019-04-05,[21]
93,2019-04-08,[14]
94,2019-04-09,[-35]
95,2019-04-10,[-28]
96,2019-04-11,[-17]
97,2019-04-12,[-14]
98,2019-04-15,[-39]
99,2019-04-16,[-21]
100,2019-04-17,[-76]
101,2019-04-18,[-78]
102,2019-04-22,[-75]
103,2019-04-23,[-87]
104,2019-04-24,[-94]
105,2019-04-25,[-64]
106,2019-04-26,[-65]
107,2019-04-29,[-63]
108,2019-04-30,[-87]
109,2019-05-01,[-100]
110,2019-05-02,[-98]
111,2019-05-03,[-96]
112,2019-05-06,[-61]
113,2019-05-07,[-30]
114,2019-05-08,[-28]
115,2019-05-09,[17]
116,2019-05-10,[28]
117,2019-05-13,[53]
118,2019-05-14,[33]
119,2019-05-15,[29]
120,2019-05-16,[-12]
121,2019-05-17,[4]
122,2019-05-20,[19]
123,2019-05-21,[-21]
124,2019-05-22,[-16]
125,2019-05-23,[56]
126,2019-05-24,[60]
127,2019-05-28,[77]
128,2019-05-29,[94]
129,2019-05-30,[99]
130,2019-05-31,[100]
131,2019-06-03,[100]
132,2019-06-04,[9]
133,2019-06-05,[1]
134,2019-06-06,[3]
135,2019-06-07,[-36]
136,2019-06-10,[-43]
137,2019-06-11,[-56]
138,2019-06-12,[-44]
139,2019-06-13,[-47]
140,2019-06-14,[-29]
141,2019-06-17,[-27]
142,2019-06-18,[-23]
143,2019-06-19,[6]
144,2019-06-20,[31]
145,2019-06-21,[25]
146,2019-06-24,[33]
147,2019-06-25,[0]
148,2019-06-26,[-1]
149,2019-06-27,[-21]
150,2019-06-28,[-27]
151,2019-07-01,[21]
152,2019-07-02,[13]
153,2019-07-03,[34]
154,2019-07-05,[10]
155,2019-07-08,[7]
156,2019-07-09,[-35]
157,2019-07-10,[-18]
158,2019-07-11,[-24]
159,2019-07-12,[0]
160,2019-07-15,[7]
