,date,open,high,low,close,volume,tic,day
833,2008-04-25,24.530000686645508,25.799999237060547,24.5,15.962288856506348,8551000,M,4
834,2008-04-28,25.40999984741211,25.809999465942383,25.049999237060547,15.912339210510254,3758300,M,0
835,2008-04-29,25.56999969482422,26.010000228881836,25.200000762939453,16.1370849609375,3595000,M,1
836,2008-04-30,26.0,26.360000610351562,25.170000076293945,15.787495613098145,5667300,M,2
837,2008-05-01,25.229999542236328,26.489999771118164,24.389999389648438,16.418001174926758,7152900,M,3
838,2008-05-02,26.510000228881836,27.079999923706055,26.059999465942383,16.418001174926758,5940400,M,4
839,2008-05-05,26.299999237060547,26.299999237060547,25.0,15.662651062011719,5708600,M,0
840,2008-05-06,24.760000228881836,25.520000457763672,24.6200008392334,15.843682289123535,3683300,M,1
841,2008-05-07,25.190000534057617,25.969999313354492,24.639999389648438,15.437914848327637,3638300,M,2
842,2008-05-08,24.940000534057617,24.940000534057617,23.670000076293945,14.901049613952637,5653900,M,3
843,2008-05-09,23.600000381469727,24.040000915527344,23.040000915527344,14.489034652709961,6583600,M,4
844,2008-05-12,23.270000457763672,24.09000015258789,23.0,14.963469505310059,5367000,M,0
845,2008-05-13,24.149999618530273,24.389999389648438,23.65999984741211,15.019657135009766,5277100,M,1
846,2008-05-14,25.700000762939453,26.100000381469727,24.059999465942383,15.562758445739746,11641200,M,2
847,2008-05-15,24.850000381469727,25.420000076293945,24.43000030517578,15.80622386932373,10749300,M,3
848,2008-05-16,25.420000076293945,25.420000076293945,24.6299991607666,15.74379825592041,7961400,M,4
849,2008-05-19,25.040000915527344,25.489999771118164,24.690000534057617,15.494093894958496,4446900,M,0
850,2008-05-20,24.520000457763672,24.709999084472656,24.020000457763672,15.33178997039795,4954300,M,1
851,2008-05-21,24.540000915527344,24.68000030517578,23.0,14.470306396484375,7226300,M,2
852,2008-05-22,23.18000030517578,23.540000915527344,22.809999465942383,14.489034652709961,4466400,M,3
853,2008-05-23,23.040000915527344,23.100000381469727,22.389999389648438,14.039571762084961,4738200,M,4
854,2008-05-27,22.520000457763672,23.229999542236328,22.280000686645508,14.270552635192871,6854200,M,1
855,2008-05-28,23.09000015258789,23.579999923706055,22.8700008392334,14.563944816589355,5733000,M,2
856,2008-05-29,23.389999389648438,24.260000228881836,23.290000915527344,15.025900840759277,4710500,M,3
857,2008-05-30,23.899999618530273,23.93000030517578,23.5,14.776196479797363,4871400,M,4
858,2008-06-02,23.670000076293945,23.670000076293945,22.6200008392334,14.245579719543457,6294600,M,0
859,2008-06-03,22.989999771118164,23.139999389648438,22.65999984741211,14.270552635192871,7573100,M,1
860,2008-06-04,22.739999771118164,22.940000534057617,22.239999771118164,14.0083589553833,8581000,M,2
