,Unnamed: 0,date,open,high,low,close,volume,tic,day
1600,1600,2017-05-12,143.69024658203125,144.6080322265625,143.4034423828125,109.48274993896484,3886204,IBM,4
1601,1601,2017-05-15,143.9961700439453,145.15296936035156,143.83364868164062,110.31275177001952,4440793,IBM,0
1602,1602,2017-05-16,144.9904327392578,147.2179718017578,144.9904327392578,111.89270782470705,5767330,IBM,1
1603,1603,2017-05-17,146.55831909179688,147.3613739013672,144.25430297851562,109.89043426513672,5430309,IBM,2
1604,1604,2017-05-18,144.22561645507812,144.67495727539062,143.50860595703125,109.78125,3424813,IBM,3
1605,1605,2017-05-19,144.3690185546875,145.75526428222656,144.25430297851562,110.65494537353516,5902578,IBM,4
1606,1606,2017-05-22,145.4110870361328,146.11854553222656,144.93307495117188,111.13546752929688,3453997,IBM,0
1607,1607,2017-05-23,145.8604278564453,146.92160034179688,145.23899841308594,110.6913604736328,2682467,IBM,1
1608,1608,2017-05-24,145.51625061035156,146.0420684814453,144.579345703125,111.04084777832033,3904090,IBM,2
1609,1609,2017-05-25,146.51051330566406,146.9694061279297,146.2237091064453,111.54322052001952,2701504,IBM,3
1610,1610,2017-05-26,146.12811279296875,146.27151489257812,145.3728485107422,111.0262680053711,2555692,IBM,4
1611,1611,2017-05-30,145.26768493652344,145.95602416992188,144.92352294921875,110.472900390625,3834636,IBM,1
1612,1612,2017-05-31,145.3441619873047,146.08030700683594,144.9808807373047,111.1282196044922,3706396,IBM,2
1613,1613,2017-06-01,146.08030700683594,146.14723205566406,144.96176147460938,111.15734100341795,3052333,IBM,3
1614,1614,2017-06-02,146.3384246826172,146.46270751953125,145.12428283691406,110.70592498779295,3750642,IBM,4
1615,1615,2017-06-05,145.14340209960938,146.20458984375,145.0095672607422,110.9680404663086,4157955,IBM,0
1616,1616,2017-06-06,145.31549072265625,146.16635131835938,145.31549072265625,110.93889617919922,3971871,IBM,1
1617,1617,2017-06-07,146.31930541992188,147.41873168945312,144.1682586669922,109.9268798828125,5089522,IBM,2
1618,1618,2017-06-08,144.35946655273438,146.09942626953125,144.28298950195312,110.74231719970705,3879614,IBM,3
