,account_value
335,1003574.1206169128
336,1003391.2577629089
337,1003538.3219718933
338,1002879.4323921204
339,1003007.1469306946
340,1002426.6282081604
341,1002548.5375404358
342,1002033.8088035583
343,1003272.2502708435
344,1005784.9326133728
345,1006086.8037223816
346,1006188.3938789368
347,1006064.5497322083
348,1006203.8741111755
349,1006205.8093070984
350,1006240.6407356262
351,1006240.6407356262
352,1006240.6407356262
353,1006240.6407356262
354,1006240.6407356262
355,1006240.6407356262
356,1006312.58020401
357,1006312.58020401
358,1006312.58020401
359,1006318.4290885925
360,1006330.1264762878
361,1006216.0758018494
362,1006032.8146934509
363,1006953.9916038513
364,1006657.6567649841
365,1006417.857837677
366,1006203.4039497375
367,1005954.8316001892
368,1005750.1254081726
369,1006316.4801597595
370,1005591.2348747253
371,1005850.5305290222
372,1005838.8323783875
373,1005424.5467185974
374,1005325.1181602478
375,1005243.2351112366
376,1004837.7228736877
377,1005144.7813034058
378,1005768.6475753784
379,1006280.4122924805
380,1006514.3615722656
381,1006558.226776123
382,1006417.8581237793
383,1006362.2947692871
384,1006106.8996429443
385,1006299.9082565308
386,1006299.9082565308
387,1006319.4040298462
388,1006319.4040298462
389,1006319.4040298462
390,1006319.4040298462
391,1006319.4040298462
392,1006319.4040298462
393,1006319.4040298462
394,1006319.4040298462
395,1006319.4040298462
396,1006319.4040298462
397,1006319.4040298462
398,1006319.4040298462
399,1006319.4040298462
400,1006319.4040298462
401,1006319.4040298462
402,1006319.4040298462
403,1006242.3957824707
404,1006378.865814209
405,1006304.7819137573
406,1006404.2100906372
407,1006347.6724624634
408,1006265.7899856567
409,1006192.6805496216
410,1006001.6222000122
411,1005874.8989105225
412,1005898.295211792
413,1005714.0586853027
414,1006135.1692199707
415,1006278.4622192383
416,1006646.9333648682
417,1006715.168762207
418,1006239.4706726074
419,1006046.6329574585
420,1006093.8581466675
421,1006118.4543609619
422,1006224.7119903564
423,1006097.793006897
424,1006078.1160354614
425,1006013.1809234619
426,1005999.4070053101
427,1005848.8754272461
428,1006088.9385223389
429,1006298.5021591187
430,1006162.7285003662
431,1006146.0027694702
432,1006146.0027694702
433,1006146.0027694702
434,1006146.0027694702
435,1006146.0027694702
436,1006146.0027694702
437,1006146.0027694702
438,1006146.0027694702
439,1006146.0027694702
440,1006146.0027694702
441,1006146.0027694702
442,1006146.0027694702
443,1006146.0027694702
444,1006146.0027694702
445,1006146.0027694702
446,1006146.0027694702
447,1006146.0027694702
448,1006146.0027694702
449,1006146.0027694702
450,1006146.0027694702
451,1006146.0027694702
452,1006146.0027694702
453,1006146.0027694702
454,1006146.0027694702
455,1006163.712310791
456,1006132.2288513184
457,1006129.277420044
458,1006156.8252563477
459,1006061.3904953003
460,1006338.8402938843
461,1006422.4691390991
462,1006422.4691390991
463,1006422.4691390991
464,1006422.4691390991
465,1006713.6934280396
466,1006713.6934280396
467,1006713.6934280396
468,1006713.6934280396
469,1006713.6934280396
470,1006713.6934280396
471,1006713.6934280396
472,1006713.6934280396
473,1006713.6934280396
474,1006713.6934280396
475,1006713.6934280396
476,1006713.6934280396
477,1006713.6934280396
478,1006713.6934280396
479,1006713.6934280396
480,1006713.6934280396
481,1006713.6934280396
482,1006713.6934280396
483,1006713.6934280396
484,1006713.6934280396
485,1006713.6934280396
486,1006685.9413146973
487,1006693.8701629639
488,1006771.1801528931
489,1006691.8882369995
490,1006719.6403503418
491,1006719.6403503418
492,1006719.6403503418
493,1006719.6403503418
494,1006719.6403503418
495,1006719.6403503418
496,1006719.6403503418
