,account_value
341,1040788.5279693602
342,997690.8062896729
343,973008.6683807373
344,1009914.6725234987
345,1012352.5625610352
346,981667.7281494142
347,1003105.0653991699
348,1020254.9819869995
349,1048586.0668258667
350,1058674.1888351438
351,1061616.6877212524
352,1081961.0567092896
353,1055647.5494842527
354,1024626.465133667
355,1023029.277923584
356,1030595.2914505005
357,1035555.5239105225
358,1032914.2619247435
359,1047908.7321853637
360,1044500.9263916017
361,1024650.4050064087
362,986056.6788253783
363,996450.5605773926
364,996706.1791534425
365,1035725.832321167
366,1024905.8676223755
367,1034192.2768249512
368,1014937.990837097
369,1008718.7706069946
370,1037429.618247986
371,1069633.659828186
372,1061028.874168396
373,1064181.2173461912
374,1064095.9071807861
375,1073552.7807540896
376,1099537.3681640623
377,1098174.2770385742
378,1125181.1827926636
379,1156618.5246047976
380,1123562.4730911257
381,1106523.366142273
382,1005481.273223877
383,1038707.6331481934
384,1036492.6100692748
385,1066311.008239746
386,1057791.376785278
387,1057876.453010559
388,1043478.5300674437
389,1031551.1707992554
390,1017408.7884521486
391,991935.1262741089
392,1014171.3690490723
393,998495.2752456665
394,1020305.3570938113
395,1028995.2969589235
396,1009996.6295471191
397,1019879.2741470337
398,1024054.0136489868
399,1001817.9268341063
400,1002925.4773635864
401,985886.2144546509
402,1008377.919845581
403,1015619.6143798829
404,1027546.8176879882
405,1047993.9643707277
406,1056598.6720504763
407,1065970.1574783325
408,1076705.0459518433
409,1074063.7839660645
410,1096299.792800903
411,1084883.5147247312
412,1071763.4507217405
413,1075341.7208862305
414,1060517.7929763794
415,1067759.3315505981
416,1047142.0324172972
417,1047482.8051986694
418,1059154.6238708496
419,1072189.4556884768
420,1068866.8820800781
421,1074575.0211181643
422,1078631.6208572388
423,1097188.4533538818
424,1094081.2606201174
425,1093649.8750305176
426,1079235.8102188113
427,1081307.4280014036
428,1074143.4795684812
429,1078286.3252334592
430,1068964.825012207
431,1063009.1773223875
432,1063095.7351684568
433,1084845.850364685
434,1075869.5677871706
435,1071813.046028137
436,1075955.9696731567
437,1079581.1838226318
438,1064390.4377975462
439,1065167.0410308838
440,1106423.7856292725
441,1074229.8034744263
442,1055672.6590576174
443,1046264.990890503
444,1055327.5973739622
445,1040654.6388244629
446,1048422.5426788331
447,1053860.2469329834
448,1056881.2717208865
449,1072244.665557861
450,1078286.3252334592
451,1059643.0128707886
452,1037979.143600464
453,1040223.1752548217
454,1025722.9424972532
455,1019335.9092178345
456,1026758.5954284668
457,1050753.0541992185
458,1043934.5573501588
459,1050235.3447036743
460,1045229.104019165
461,1040741.0407104492
462,1053169.889625549
463,1052824.5160217285
464,1070949.9629287717
465,1134992.8655548093
466,1103370.145751953
467,1098364.061027527
468,1080147.1788253782
469,1087399.2672042844
470,1078334.0007247925
471,1087312.9179611204
472,1083773.2230148313
473,1013408.8862228392
474,993465.2531661987
475,999508.7641525269
476,1001580.8339767457
477,968945.5782394409
478,954613.8659591675
479,920856.2260665894
480,940368.3469161987
481,964110.8006515503
482,974902.973991394
483,985589.2811203003
484,966459.0822067261
485,990995.2147445679
486,984692.8120346069
487,1012023.0313034058
488,1032871.1191864013
489,1026651.6493530272
490,1003000.4860610961
491,1023585.6783599855
492,1036812.8367156981
493,1031031.6302032471
494,1022884.8314971924
495,1026476.4376373291
496,1024374.1310806272
497,1051967.0119018552
498,1089896.6818542478
499,1087969.5090026855
500,1089283.5188598635
501,1082012.856742859
502,1078859.591934204
503,1091648.6429901123
504,1082801.3874740598
505,1114248.692008972
