,date,actions
400,2020-07-10,[0]
401,2020-07-13,[0]
402,2020-07-14,[0]
403,2020-07-15,[0]
404,2020-07-16,[0]
405,2020-07-17,[0]
406,2020-07-20,[0]
407,2020-07-21,[0]
408,2020-07-22,[0]
409,2020-07-23,[0]
410,2020-07-24,[0]
411,2020-07-27,[0]
412,2020-07-28,[0]
413,2020-07-29,[0]
414,2020-07-30,[0]
415,2020-07-31,[0]
416,2020-08-03,[0]
417,2020-08-04,[0]
418,2020-08-05,[0]
419,2020-08-06,[0]
420,2020-08-07,[0]
421,2020-08-10,[-4]
422,2020-08-11,[-3]
423,2020-08-12,[-3]
424,2020-08-13,[5]
425,2020-08-14,[1]
426,2020-08-17,[4]
427,2020-08-18,[0]
428,2020-08-19,[0]
429,2020-08-20,[0]
430,2020-08-21,[0]
431,2020-08-24,[0]
432,2020-08-25,[0]
433,2020-08-26,[0]
434,2020-08-27,[0]
435,2020-08-28,[0]
436,2020-08-31,[0]
437,2020-09-01,[0]
438,2020-09-02,[-1]
439,2020-09-03,[1]
440,2020-09-04,[0]
441,2020-09-08,[0]
442,2020-09-09,[0]
443,2020-09-10,[0]
444,2020-09-11,[0]
445,2020-09-14,[0]
446,2020-09-15,[0]
447,2020-09-16,[0]
448,2020-09-17,[0]
449,2020-09-18,[0]
450,2020-09-21,[0]
451,2020-09-22,[0]
452,2020-09-23,[0]
453,2020-09-24,[0]
454,2020-09-25,[0]
455,2020-09-28,[0]
456,2020-09-29,[0]
457,2020-09-30,[0]
458,2020-10-01,[0]
459,2020-10-02,[0]
460,2020-10-05,[0]
461,2020-10-06,[0]
462,2020-10-07,[0]
463,2020-10-08,[-11]
464,2020-10-09,[-23]
465,2020-10-12,[-21]
466,2020-10-13,[0]
467,2020-10-14,[-4]
468,2020-10-15,[15]
469,2020-10-16,[0]
470,2020-10-19,[0]
471,2020-10-20,[48]
472,2020-10-21,[0]
473,2020-10-22,[0]
474,2020-10-23,[0]
475,2020-10-26,[0]
476,2020-10-27,[0]
477,2020-10-28,[1]
478,2020-10-29,[0]
479,2020-10-30,[0]
480,2020-11-02,[0]
481,2020-11-03,[0]
482,2020-11-04,[0]
483,2020-11-05,[0]
484,2020-11-06,[0]
485,2020-11-09,[0]
486,2020-11-10,[0]
487,2020-11-11,[0]
488,2020-11-12,[0]
489,2020-11-13,[0]
490,2020-11-16,[0]
491,2020-11-17,[0]
492,2020-11-18,[0]
493,2020-11-19,[0]
494,2020-11-20,[0]
495,2020-11-23,[0]
496,2020-11-24,[0]
497,2020-11-25,[0]
498,2020-11-27,[-2]
499,2020-11-30,[0]
500,2020-12-01,[2]
501,2020-12-02,[0]
502,2020-12-03,[0]
503,2020-12-04,[-1]
504,2020-12-07,[-4]
505,2020-12-08,[-23]
506,2020-12-09,[-16]
507,2020-12-10,[-20]
508,2020-12-11,[-4]
509,2020-12-14,[-5]
510,2020-12-15,[-12]
511,2020-12-16,[-10]
512,2020-12-17,[83]
513,2020-12-18,[-19]
514,2020-12-21,[31]
515,2020-12-22,[0]
516,2020-12-23,[0]
517,2020-12-24,[-6]
518,2020-12-28,[-5]
519,2020-12-29,[11]
520,2020-12-30,[0]
521,2020-12-31,[-16]
522,2021-01-04,[16]
523,2021-01-05,[-12]
524,2021-01-06,[-30]
525,2021-01-07,[-43]
526,2021-01-08,[-39]
527,2021-01-11,[-40]
528,2021-01-12,[-40]
529,2021-01-13,[-27]
530,2021-01-14,[-33]
531,2021-01-15,[-29]
532,2021-01-19,[-41]
533,2021-01-20,[-46]
534,2021-01-21,[-61]
535,2021-01-22,[80]
536,2021-01-25,[83]
537,2021-01-26,[100]
538,2021-01-27,[99]
539,2021-01-28,[91]
