,date,actions
102,2019-04-18,[-19]
103,2019-04-22,[-18]
104,2019-04-23,[-29]
105,2019-04-24,[-36]
106,2019-04-25,[-49]
107,2019-04-26,[-61]
108,2019-04-29,[-69]
109,2019-04-30,[-70]
110,2019-05-01,[-83]
111,2019-05-02,[-96]
112,2019-05-03,[-100]
113,2019-05-06,[-100]
114,2019-05-07,[-100]
115,2019-05-08,[-100]
116,2019-05-09,[-100]
117,2019-05-10,[-99]
118,2019-05-13,[-96]
119,2019-05-14,[-94]
120,2019-05-15,[-89]
121,2019-05-16,[-84]
122,2019-05-17,[-82]
123,2019-05-20,[-82]
124,2019-05-21,[-79]
125,2019-05-22,[-77]
126,2019-05-23,[-75]
127,2019-05-24,[-78]
128,2019-05-28,[-78]
129,2019-05-29,[-75]
130,2019-05-30,[-73]
131,2019-05-31,[-73]
132,2019-06-03,[-66]
133,2019-06-04,[-65]
134,2019-06-05,[-60]
135,2019-06-06,[-58]
136,2019-06-07,[-62]
137,2019-06-10,[-66]
138,2019-06-11,[-19]
139,2019-06-12,[0]
140,2019-06-13,[0]
141,2019-06-14,[0]
142,2019-06-17,[0]
143,2019-06-18,[0]
144,2019-06-19,[0]
145,2019-06-20,[0]
146,2019-06-21,[0]
147,2019-06-24,[0]
148,2019-06-25,[0]
149,2019-06-26,[0]
150,2019-06-27,[0]
151,2019-06-28,[0]
152,2019-07-01,[0]
153,2019-07-02,[0]
154,2019-07-03,[0]
155,2019-07-05,[0]
156,2019-07-08,[0]
157,2019-07-09,[0]
158,2019-07-10,[0]
159,2019-07-11,[0]
160,2019-07-12,[0]
161,2019-07-15,[0]
162,2019-07-16,[0]
163,2019-07-17,[0]
164,2019-07-18,[0]
165,2019-07-19,[0]
166,2019-07-22,[0]
167,2019-07-23,[0]
168,2019-07-24,[0]
169,2019-07-25,[0]
170,2019-07-26,[0]
171,2019-07-29,[0]
172,2019-07-30,[0]
173,2019-07-31,[0]
174,2019-08-01,[0]
175,2019-08-02,[0]
176,2019-08-05,[0]
177,2019-08-06,[0]
178,2019-08-07,[0]
179,2019-08-08,[0]
180,2019-08-09,[0]
181,2019-08-12,[0]
182,2019-08-13,[0]
183,2019-08-14,[0]
184,2019-08-15,[0]
185,2019-08-16,[0]
186,2019-08-19,[0]
187,2019-08-20,[0]
188,2019-08-21,[0]
189,2019-08-22,[0]
190,2019-08-23,[0]
191,2019-08-26,[0]
192,2019-08-27,[0]
193,2019-08-28,[0]
194,2019-08-29,[0]
195,2019-08-30,[0]
196,2019-09-03,[0]
197,2019-09-04,[0]
198,2019-09-05,[0]
199,2019-09-06,[0]
200,2019-09-09,[0]
201,2019-09-10,[0]
202,2019-09-11,[0]
203,2019-09-12,[0]
204,2019-09-13,[0]
205,2019-09-16,[0]
206,2019-09-17,[0]
207,2019-09-18,[0]
208,2019-09-19,[0]
209,2019-09-20,[0]
210,2019-09-23,[0]
211,2019-09-24,[0]
212,2019-09-25,[0]
213,2019-09-26,[0]
214,2019-09-27,[0]
215,2019-09-30,[0]
216,2019-10-01,[0]
217,2019-10-02,[0]
218,2019-10-03,[0]
219,2019-10-04,[0]
220,2019-10-07,[0]
221,2019-10-08,[0]
222,2019-10-09,[0]
223,2019-10-10,[0]
224,2019-10-11,[0]
225,2019-10-14,[0]
226,2019-10-15,[0]
227,2019-10-16,[0]
228,2019-10-17,[0]
229,2019-10-18,[0]
230,2019-10-21,[0]
